City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sentyabrskiy,-16.5048,-68.1624,6.18,93,75,3.09,BO,"Feb 07, 2023, Tue, 23:00"
1,el alto,-23.123,-134.968,26.34,73,67,3.78,PF,"Feb 07, 2023, Tue, 23:00"
2,rikitea,-20.7724,117.1458,34.47,43,54,6.84,AU,"Feb 07, 2023, Tue, 23:00"
3,roebourne,1.7505,40.0595,24.97,73,20,4.12,KE,"Feb 07, 2023, Tue, 23:00"
4,wajir,-14.4646,132.2636,36.17,44,40,2.06,AU,"Feb 07, 2023, Tue, 23:00"
5,katherine,68.537,146.1873,-43.31,100,70,1.29,RU,"Feb 07, 2023, Tue, 23:00"
6,belaya gora,50.2569,58.4353,-18.11,100,100,5.32,KZ,"Feb 07, 2023, Tue, 23:00"
7,khromtau,40.3278,-91.2001,2.73,73,71,2.64,US,"Feb 07, 2023, Tue, 23:00"
8,basco,55.3431,-131.6467,3.26,87,100,3.09,US,"Feb 07, 2023, Tue, 23:00"
9,ketchikan,71.2925,-156.7876,-19.99,77,100,3.09,US,"Feb 07, 2023, Tue, 23:00"
10,barrow,-45.4145,167.7175,11.26,66,47,3.46,NZ,"Feb 07, 2023, Tue, 23:00"
11,te anau,32.5322,20.5722,11.19,67,95,2.77,LY,"Feb 07, 2023, Tue, 23:00"
12,tukrah,50.6758,-120.3394,5.84,56,75,2.06,CA,"Feb 07, 2023, Tue, 23:00"
13,kamloops,-22.9663,-42.0244,23.47,92,100,1.14,BR,"Feb 07, 2023, Tue, 23:00"
14,arraial do cabo,73.5084,80.5124,-19.18,88,100,10.11,RU,"Feb 07, 2023, Tue, 23:00"
15,dikson,-33.929,18.4174,21.5,72,20,5.81,ZA,"Feb 07, 2023, Tue, 23:00"
16,cape town,-24.8826,113.6576,30.32,52,4,7.87,AU,"Feb 07, 2023, Tue, 23:00"
17,carnarvon,51.5788,116.646,-10.04,71,24,1.3,RU,"Feb 07, 2023, Tue, 23:00"
18,baley,5.3296,103.1383,29.96,74,40,5.14,MY,"Feb 07, 2023, Tue, 23:00"
19,kuala terengganu,46.2239,-63.2577,-6.73,79,75,7.15,CA,"Feb 07, 2023, Tue, 23:00"
20,clyde river,36.5,75.5,-21.61,55,1,1.34,PK,"Feb 07, 2023, Tue, 23:00"
21,hunza,-34.4175,19.2361,21.58,76,0,7.0,ZA,"Feb 07, 2023, Tue, 23:00"
22,hermanus,-34.5331,20.0428,21.14,67,4,5.83,ZA,"Feb 07, 2023, Tue, 23:00"
23,bredasdorp,36.2653,2.767,4.32,67,92,1.69,DZ,"Feb 07, 2023, Tue, 23:00"
24,medea,-7.9605,-79.238,22.1,88,75,3.6,PE,"Feb 07, 2023, Tue, 23:00"
25,santiago de cao,-20.4111,57.7061,29.08,74,75,6.69,MU,"Feb 07, 2023, Tue, 23:00"
